name	type	units	description	sampling_frequency	low_cutoff	high_cutoff	notch	status
FP1	EEG	uV	n/a	512	0.01	250	n/a	bad
FPz	EEG	uV	n/a	512	0.01	250	n/a	bad
FP2	EEG	uV	n/a	512	0.01	250	n/a	bad
AF7	EEG	uV	n/a	512	0.01	250	n/a	good
AF3	EEG	uV	n/a	512	0.01	250	n/a	good
AF4	EEG	uV	n/a	512	0.01	250	n/a	good
AF8	EEG	uV	n/a	512	0.01	250	n/a	bad
F7	EEG	uV	n/a	512	0.01	250	n/a	good
F5	EEG	uV	n/a	512	0.01	250	n/a	good
F3	EEG	uV	n/a	512	0.01	250	n/a	good
F1	EEG	uV	n/a	512	0.01	250	n/a	good
Fz	EEG	uV	n/a	512	0.01	250	n/a	good
F2	EEG	uV	n/a	512	0.01	250	n/a	good
F4	EEG	uV	n/a	512	0.01	250	n/a	good
F6	EEG	uV	n/a	512	0.01	250	n/a	good
F8	EEG	uV	n/a	512	0.01	250	n/a	good
FT7	EEG	uV	n/a	512	0.01	250	n/a	good
FC5	EEG	uV	n/a	512	0.01	250	n/a	good
FC3	EEG	uV	n/a	512	0.01	250	n/a	bad
FC1	EEG	uV	n/a	512	0.01	250	n/a	good
FCz	EEG	uV	n/a	512	0.01	250	n/a	good
FC2	EEG	uV	n/a	512	0.01	250	n/a	good
FC4	EEG	uV	n/a	512	0.01	250	n/a	good
FC6	EEG	uV	n/a	512	0.01	250	n/a	good
FT8	EEG	uV	n/a	512	0.01	250	n/a	good
T7	EEG	uV	n/a	512	0.01	250	n/a	good
C5	EEG	uV	n/a	512	0.01	250	n/a	good
C3	EEG	uV	n/a	512	0.01	250	n/a	good
C1	EEG	uV	n/a	512	0.01	250	n/a	good
Cz	EEG	uV	n/a	512	0.01	250	n/a	good
C2	EEG	uV	n/a	512	0.01	250	n/a	good
C4	EEG	uV	n/a	512	0.01	250	n/a	good
C6	EEG	uV	n/a	512	0.01	250	n/a	good
T8	EEG	uV	n/a	512	0.01	250	n/a	good
TP7	EEG	uV	n/a	512	0.01	250	n/a	good
CP5	EEG	uV	n/a	512	0.01	250	n/a	good
CP3	EEG	uV	n/a	512	0.01	250	n/a	good
CP1	EEG	uV	n/a	512	0.01	250	n/a	good
CPz	EEG	uV	n/a	512	0.01	250	n/a	good
CP2	EEG	uV	n/a	512	0.01	250	n/a	good
CP4	EEG	uV	n/a	512	0.01	250	n/a	good
CP6	EEG	uV	n/a	512	0.01	250	n/a	good
TP8	EEG	uV	n/a	512	0.01	250	n/a	bad
P7	EEG	uV	n/a	512	0.01	250	n/a	good
P5	EEG	uV	n/a	512	0.01	250	n/a	good
P3	EEG	uV	n/a	512	0.01	250	n/a	good
P1	EEG	uV	n/a	512	0.01	250	n/a	good
Pz	EEG	uV	n/a	512	0.01	250	n/a	good
P2	EEG	uV	n/a	512	0.01	250	n/a	good
P4	EEG	uV	n/a	512	0.01	250	n/a	good
P6	EEG	uV	n/a	512	0.01	250	n/a	good
P8	EEG	uV	n/a	512	0.01	250	n/a	good
PO7	EEG	uV	n/a	512	0.01	250	n/a	good
PO3	EEG	uV	n/a	512	0.01	250	n/a	good
POz	EEG	uV	n/a	512	0.01	250	n/a	good
PO4	EEG	uV	n/a	512	0.01	250	n/a	good
PO8	EEG	uV	n/a	512	0.01	250	n/a	good
O1	EEG	uV	n/a	512	0.01	250	n/a	good
Oz	EEG	uV	n/a	512	0.01	250	n/a	good
O2	EEG	uV	n/a	512	0.01	250	n/a	good
F9	EEG	uV	n/a	512	0.01	250	n/a	good
F10	EEG	uV	n/a	512	0.01	250	n/a	good
REF	EEG	uV	n/a	512	0.01	250	n/a	good
REF	EEG	uV	n/a	512	0.01	250	n/a	good
EXG1	EXG	n/a	n/a	512	n/a	n/a	n/a	n/a
EXG2	EXG	n/a	n/a	512	n/a	n/a	n/a	n/a
EXG3	EXG	n/a	n/a	512	n/a	n/a	n/a	n/a
EXG4	EXG	n/a	n/a	512	n/a	n/a	n/a	n/a
EXG5	EXG	n/a	n/a	512	n/a	n/a	n/a	n/a
EXG6	EXG	n/a	n/a	512	n/a	n/a	n/a	n/a
EXG7	EXG	n/a	n/a	512	n/a	n/a	n/a	n/a
EXG8	EXG	n/a	n/a	512	n/a	n/a	n/a	n/a
EXG9	EXG	n/a	n/a	512	n/a	n/a	n/a	n/a
EXG10	EXG	n/a	n/a	512	n/a	n/a	n/a	n/a
EXG11	EXG	n/a	n/a	512	n/a	n/a	n/a	n/a
EXG12	EXG	n/a	n/a	512	n/a	n/a	n/a	n/a
EXG13	EXG	n/a	n/a	512	n/a	n/a	n/a	n/a
EXG14	EXG	n/a	n/a	512	n/a	n/a	n/a	n/a
EXG15	EXG	n/a	n/a	512	n/a	n/a	n/a	n/a
EXG16	EXG	n/a	n/a	512	n/a	n/a	n/a	n/a
TRIG	Events	uV	n/a	512	n/a	n/a	n/a	good
